subject,session1,session2,label,volume1,volume2,abs_volume_diff,dice,surface_dice,hd95,label_name,volume_diff,percentage_vol_diff
sub-01,sub-01_ses-siteKUT,sub-01_ses-siteSWA,2035,6469.0,6760.0,291.0,0.7708821528460201,0.9493566021046173,1.4142135623730951,Insula R,-291.0,-0.04304733727810651
sub-01,sub-01_ses-siteSWA,sub-01_ses-siteUTO,1002,3954.0,4074.0,120.0,0.742152466367713,0.9702400659405576,1.0,Caudal Anterior Cingulate L,-120.0,-0.029455081001472753
sub-01,sub-01_ses-siteSWA,sub-01_ses-siteUTO,1006,1311.0,917.0,394.0,0.5547576301615799,0.7221559400664908,5.0990195135927845,Entorhinal Cortex L,394.0,0.4296619411123228
sub-01,sub-01_ses-siteSWA,sub-01_ses-siteUTO,1007,9023.0,8552.0,471.0,0.7517496443812234,0.9687684190837528,1.0,Fusiform Gyrus L,471.0,0.05507483629560337
sub-01,sub-01_ses-siteSWA,sub-01_ses-siteUTO,1008,15848.0,15535.0,313.0,0.6152375489914922,0.9387674648319024,1.4142135623730951,Inferior Parietal L,313.0,0.020148052784036048
sub-01,sub-01_ses-siteSWA,sub-01_ses-siteUTO,1012,10254.0,9932.0,322.0,0.7664718121470326,0.964390228592713,1.0,Lateral Orbitofrontal L,322.0,0.0324204591220298
sub-01,sub-01_ses-siteSWA,sub-01_ses-siteUTO,1014,5116.0,5047.0,69.0,0.7074682672439241,0.934466148761682,1.4142135623730951,Medial Orbitofrontal L,69.0,0.0136714880126808
sub-01,sub-01_ses-siteSWA,sub-01_ses-siteUTO,1028,27073.0,27467.0,394.0,0.7177117711771177,0.9618667799576872,1.0,Superior Frontal L,-394.0,-0.014344486110605454
sub-01,sub-01_ses-siteSWA,sub-01_ses-siteUTO,1030,18321.0,18838.0,517.0,0.7692349094432035,0.9639736630290636,1.0,Superior Temporal L,-517.0,-0.027444527019853487
sub-01,sub-01_ses-siteSWA,sub-01_ses-siteUTO,1035,6702.0,6558.0,144.0,0.8390648567119156,0.984170886956266,1.0,Insula L,144.0,0.021957913998170174
sub-01,sub-01_ses-siteSWA,sub-01_ses-siteUTO,2002,2117.0,2353.0,236.0,0.6143176733780761,0.8758195142335835,4.242640687119285,Caudal Anterior Cingulate R,-236.0,-0.10029749256268593
sub-01,sub-01_ses-siteSWA,sub-01_ses-siteUTO,2006,1135.0,1164.0,29.0,0.6080904741191823,0.8526087840542219,2.23606797749979,Entorhinal Cortex R,-29.0,-0.02491408934707904
sub-01,sub-01_ses-siteSWA,sub-01_ses-siteUTO,2007,10143.0,9234.0,909.0,0.7374722609279042,0.9517331172868292,1.4142135623730951,Fusiform Gyrus R,909.0,0.09844054580896686
sub-01,sub-01_ses-siteSWA,sub-01_ses-siteUTO,2008,16536.0,16239.0,297.0,0.5990541571319603,0.9102689179553124,1.7320508075688772,Inferior Parietal R,297.0,0.018289303528542397
sub-01,sub-01_ses-siteSWA,sub-01_ses-siteUTO,2012,10038.0,10017.0,21.0,0.7130391423585141,0.942962379253882,1.7320508075688772,Lateral Orbitofrontal R,21.0,0.0020964360587002098
sub-01,sub-01_ses-siteSWA,sub-01_ses-siteUTO,2014,5016.0,4482.0,534.0,0.6662455253737629,0.930768033750157,1.4142135623730951,Medial Orbitofrontal R,534.0,0.11914323962516733
sub-01,sub-01_ses-siteSWA,sub-01_ses-siteUTO,2028,33304.0,32271.0,1033.0,0.7251544033549371,0.9616527224828506,1.0,Superior Frontal R,1033.0,0.032010163924266366
sub-01,sub-01_ses-siteSWA,sub-01_ses-siteUTO,2030,18899.0,18009.0,890.0,0.7173512517611358,0.9348393254776618,1.4142135623730951,Superior Temporal R,890.0,0.049419734577155865
sub-01,sub-01_ses-siteSWA,sub-01_ses-siteUTO,2035,6760.0,6580.0,180.0,0.7992503748125938,0.9611766574998142,1.0,Insula R,180.0,0.02735562310030395
sub-01,sub-01_ses-siteUTO,sub-01_ses-siteYC1,1002,4074.0,4399.0,325.0,0.8122270742358079,0.9798131425440488,1.0,Caudal Anterior Cingulate L,-325.0,-0.07388042736985678
sub-01,sub-01_ses-siteUTO,sub-01_ses-siteYC1,1006,917.0,1252.0,335.0,0.5846011987090826,0.7666197117858717,4.358898943540674,Entorhinal Cortex L,-335.0,-0.26757188498402557
sub-01,sub-01_ses-siteUTO,sub-01_ses-siteYC1,1007,8552.0,8563.0,11.0,0.8204498977505112,0.9827237246554856,1.0,Fusiform Gyrus L,-11.0,-0.001284596519911246
sub-01,sub-01_ses-siteUTO,sub-01_ses-siteYC1,1008,15535.0,14551.0,984.0,0.8140663431496377,0.9886482402165628,1.0,Inferior Parietal L,984.0,0.06762421826678579
sub-01,sub-01_ses-siteUTO,sub-01_ses-siteYC1,1012,9932.0,9312.0,620.0,0.7807108709208065,0.959630940579631,1.4142135623730951,Lateral Orbitofrontal L,620.0,0.0665807560137457
sub-01,sub-01_ses-siteUTO,sub-01_ses-siteYC1,1014,5047.0,4663.0,384.0,0.7120494335736355,0.9575003602945816,1.4142135623730951,Medial Orbitofrontal L,384.0,0.08235041818571735
